الاسم,المدينة,المنطقة,الحي,الشارع,صندوق البريد,الرمز الريدي,الجوال,البريد الالكتروني
شقق المنزل الذهبي للشقق المخدومة,الدمام,الشرقية,حي طيبة,ابو بكر الصديق,7012,636250332,+966138183888,goldenhousesuite@gmail.com
ضيوف الوطن,بريدة,القصيم,الريان,الامام البخاري,5092,,016-3859922,ribdi@yahoo.com
شقق دار العطف للوحدات السكنية,جدة,مكة المكرمة,الربوه,حسان النعمان,8659,4556,+966126554545,mkb7000@hotmail.com
فندق سلسبيل حموده اثنين الفندقية,العاصمة المقدسة,مكة المكرمة,حي الجميزة,طريق المسجد الحرام,6352,6567,+966125702691,hamudah_group@hotmail.com
شركة أسلا العقارية المحدودة,عنيزة,القصيم,الحديقة,زامل السليم,7302,75,+966920000666,exe.dir@boudl.com
برق الخزامى للشقق المفروشة,الارطاوية,الرياض,الفيصلية,الملك عبدالعزيز,1,,011-4361230,secsec770@gmail.com
فندق زهرة السعد الفندقية,العاصمة المقدسة,مكة المكرمة,المعابده,العصمه,7119,24236,+966562880770,alsaadhotels@hotmail.com
تفاصيل النجاح,جدة,مكة المكرمة,الروضة,محمد صالح ابو زنادة,4225,,012-6677882,nts@outlook.sa
فندق مفازا القصيم الفندقية,رياض الخبراء,القصيم,الخندق,طريق المدينة السريع,1,324,+966503341616,MLOKISH@HOTMAIL.COM
مؤسسة حديث اواصر الجزيره للتجارة,الخرج,الرياض,حي العالية,الملك عبدالله,2546,2546,+966115444468,ibrahimalamer@hotmail.com
درة أراك,جدة,مكة المكرمة,الفيصلية,عبدالله بن خالد,3750,,012-2588875,rody.lolo1@gmail.com
مؤسسة جنان للشقق المفروشة,نجران,نجران,حي صاغر,أبو المظفر المبارك,8604,0000,+966175229922,alfann.net@hotmail.com
شقق درة هند للوحدات السكنية,نجران,نجران,الفهد,شارع صهيب بن سنان,2,5033,+966509174816,hl_2004_hl@hotmail.com
حياة فلسطين للوحدات السكنية,جدة,مكة المكرمة,مشرفة,شارع فلسطين,7522,,012-6718666,faisalabosaq@hotmail.com
فندق قصر العليان للشقق الفندقية,العاصمة المقدسة,مكة المكرمة,اجياد,ريع بخش,5,7657,+966125566622,ha.alyzedei@gmail.com
برج الوادي,الولامين,الرياض,الولامين,الشارع العام,32,,011-7843652,borgalwadi@hotmail.com
فندق الأندلس تولين الفندقية,جدة,مكة المكرمة,البغدادية الغربية,إبراهيم الرقي,3559,50777,+966505600647,andalust@hotmail.com
اقامتي,جازان,جازان,مخطط 6,القاهره,20,,017-3202020,nmr00001@hotmail.com
المروة الجديد,العاصمة المقدسة,مكة المكرمة,العزيزية,الطائف,0,,014-5976180,omarjaad@hotmail.com
رواسي عسير,خميس مشيط,عسير,البغث,مخطط الامير عبد الرحمن,605,,017-2310777,yssq2012@yahoo.com
شركة الأمواج الزرقاء الفندقية,أملج,تبوك,الكورنيش,طريق الملك فيصل,8272,3470,+966122222221,lafi-sa@hotmail.com
مراسينا الارسى,الطائف,مكة المكرمة,المليساء,طريق المطار,9,,012-7501911,www.marasenahote1@gmail.com
اكنان الصفا للوحدات السكنية الفروشة,جدة,مكة المكرمة,الصفا,الشربتلي,12,,012-6144044,tareek1001@hotmail.com
برج لينا,خميس مشيط,عسير,الراقي,الممشى,4568,,017-2380424,mohd20222@hotmail.com
شقق البيت دارك للشقق المفروشة,الدمام,الشرقية,حي العنود,شارع الملك سعود,3618,3618,+966555012552,amsq1234@gmail.com
الجادية الفاخرة للوحدات السكنية,الباحة,الباحة,الجادية,العام,2545,,017-0619169,s-alghamde@hotmail.com
فندق تميز الروضة,العاصمة المقدسة,مكة المكرمة,الروضة,طريق المسجد الحرام,11,,014-5582233,memo_2223@hotmail.com
فندق المستقبل الفندقية,صامطة,جازان,قام العتنه,طريق الخوبه,2459,85412,+966502161180,eshag1972@gmail.com
فندق جرش للوحدات الفندقية فرع شركة حمومه المحدودة,خميس مشيط,عسير,الضيافة,الامام محمد بن سعود,3278,62431,+966172755664,alshahrany@gmail.com
الؤلؤة الذهبية,المدينة المنورة,المدينة المنورة,المصانع,ابونصر التاجر,0,,014-8224814,be.be.11@hotmail.com
فندق أجنحة العزيزية,المدينة المنورة,المدينة المنورة,العزيزية,سليم بن عمرو,23,,014-8405918,qibaaaa@gmail.com
فندق إيوان دار الهجرة الفندقية,المدينة المنورة,المدينة المنورة,حي مسجد الدرع,ثابت بن قرم,8194,8194,+966148690757,waleed.a.tahir@hotmail.com
شقق نارميس للشقق المفروشة,عنيزة,القصيم,الريان,زامل السليم,8307,1585,+966163613000,narmisshotel@gmail.com
اجنحة ابراهيم الصعب للوحدات السكنية,الفيصلية,مكة المكرمة,المليساء,المؤتمرات,456865,,012-7502211,alsaabb@gmail.com
شقق نجمة الخيال للوحدات السكنية المفروشة,الرياض,الرياض,المنصورة,الامير سعد بن عبدالرحمن الثاني,0,42744,+966114482409,tareeq.2887@gmail.com
مؤسسة فيو إنن للشقق الفندقية,خميس مشيط,عسير,حي البوادي,الامير سلطان,2945,62462,+966172388882,mosali70@hotmail.com
جوهرة الوادي للاجنحة المفروشة,المندق,الباحة,المندق,الملك عبدالعزيز,9161,,017-7511218,ALKNANI686@GMAIL.COM
رداد رديد الهذلي,العاصمة المقدسة,مكة المكرمة,ريع زاخر,ريع زاخر,0,,014-5491111,dev.m.atef1991@gmail.com
الباحه للواحدات السكنية المفروشة,الباحة,الباحة,الحاوية,الملك فهد,6456,,017-7251007,a.alowaifi@hotmail.com
فندق ديار المشاعر الفندقية,العاصمة المقدسة,مكة المكرمة,حي الجامعه,الملك خالد,0,3522,+966125504772,mnn9963@yahoo.com
اوبرا للاجنحة المفروشة,محايل,عسير,الحيلة الغربي,طريق الشعبين,5761,,017-2852457,s2802828@gmail.com
شقق فخامة الشرق للشقق المخدومة,الخبر,الشرقية,الجوهرة,الخبر شارع مكه المكرمه حى الجوهرة,6813,73258,+966505810544,grandeur_east@hotmail.com
بودل,جدة,مكة المكرمة,النهضة,حراء,2848,75,+966920000666,exe.dir@boudl.com
بيت العليا للشقق المفروشة,حائل,حائل,العليا,الامير مقرن,15,,016-5432727,khalidalsaeid@yahoo.com
فندق رونا الخبر,جسر الملك فهد,الشرقية,الجوهره,مكه المكرمه,6770,,013-8692626,kalossaimi@hotmail.com
مؤسسة مسكن الجواد للوحدات السكنية,المدينة المنورة,المدينة المنورة,العريض,المنارات,6691,42314,+966148394333,JR.aljawadresidence@gmail.com
نزل القمة السياحي للنزل السياحيه,بلجرشي,الباحة,غابة أم غيث,الطريق السياحي,4632,6229,+966504586863,khder.khaled@gmail.com
شقق رحالة للوحدات السكنية,جدة,مكة المكرمة,الروضة,شارع حمد الجاسر,8842,3537,+966505307777,dos_911@yahoo.com
شقق ليالي سيراء للوحدات السكنية,خميس مشيط,عسير,عتود,الامير سلطان,3636,6239,+966504738813,havana1234h@gmail.com
فندق الرؤية الجديدة للشقق الفندقية,الدائر,جازان,الهجر,العام,2963,185,+9661734002009,sam2009i@hotmail.com
شقق دار ود للشقق المفروشة,جدة,مكة المكرمة,حي النزهة,فؤاد شاكر,2866,7095,+966122366466,aah_malki@hotmail.com
شقق قصر الروابي للوحدات السكنية,الرياض,الرياض,حي الروابي,ابي الفضل الداهري,2690,4,+966114969361,rawabipalaceut1957@gmail.com
مؤسسة برج الرايه للشقق الفندقية,الرياض,الرياض,الملز,الجامعة,3976,0,+966112633334,br0504561128@gmail.com
الشركة المصرية السعودية الاولى الفندقية,خميس مشيط,عسير,اتارة,الامام محمد بن سعود,7134,801989754,+966172213332,mor444477@yahoo.com
فندق جيناك الفندقية,ينبع,المدينة المنورة,حي ينبع البلد,عمر بن الخطاب رضي الله عنه,4973,1231,+966143222220,info@canarybeachhotel.com
هلا وغلا,الرياض,الرياض,العزيزيه,محمد رشيد رضا,604,,011-4489222,jws_2010@hotmail.com
فندق عناية المسافر اثنين,العاصمة المقدسة,مكة المكرمة,المسفلة,الهجرة أمام مسجد الهجرة,0,,014-5659883,ss9hh4@gmail.com
مؤسسة قصر الدمام للشقق المفروشة,الدمام,الشرقية,المزروعية,الامير محم بن فهد,340,2544,+966138336568,rsmg22222@gmail.com
منتجع شاطيء الغروب,جسر الملك فهد,الشرقية,التحليـة,الملك فهـد,6590,,013-8902000,saleh@sunset-beach.com.sa
شقق حكاية عبير للشقق المخدومة,جدة,مكة المكرمة,حى المروة,أبو قتادة الأنصارى,7206,0000,+9661222640666,bsu444@outlook.sa
الجميره الحديثه,جدة,مكة المكرمة,الزهراء,حراء,3123,,012-6921506,aljmera2014@gmail.com
شقق سحاب الرياض للشقق المخدومة,الرياض,الرياض,حي النسيم الغربي,عبدالله بن مسعود,7373,2259,+966595168440,ruhclouds@gmail.com
شقق اجنحه الياسمين للوحدات السكنية,خميس مشيط,عسير,مخطط الموسى,الملك عبدالله,4187,66423,+966172206999,saaad.201333@gmail.com
فندق اطلالة الروضة,العاصمة المقدسة,مكة المكرمة,الروضة,شارع الروضة,64255,,014-5572036,homoidan11@gmail.com
داني للوحدات السكنية المفروشة,بقيق,الشرقية,المدينة,بومائة,0,,013-5653417,tameradeed11@yahoo.com
فيفا ستار,جازان,جازان,الشاطى,مخطط ستة,193,,017-3182422,vivastar2016@gmail.com
فندق روافد الحضارة,العاصمة المقدسة,مكة المكرمة,اجياد,اجياد السد,5221,,014-5734444,abdo_khalil_2010@yahoo.com
فندق شذي الوسام اربعة الفندقية,العاصمة المقدسة,مكة المكرمة,حي اجياد,الشارع العام,7203,0000,+966555536199,bussmathail@hotmail.com
فندق روابي زمزم شركة الأندلس لصيانةوإدارةوتشغيل الفنادق والقصورالسكنية,العاصمة المقدسة,مكة المكرمة,حي اجياد,لايوجد,4565,2417,+966125772730,hralandaluss@gmail.com
الرفاع العزيزيه,العاصمة المقدسة,مكة المكرمة,العزيزيه,العزيزيه العام,7570,,014-5660898,AL-RIFAA_OMRAN@LIVE.COM
شقق أناقة المسكن للوحدات السكنية,الطائف,مكة المكرمة,حي ج12,الشارع العام,4982,3695,+966127272724,anaqatelmaskan@gmail.com
فندق المختارة الغربي,المدينة المنورة,المدينة المنورة,المناخة,سلمان الفارسي,2130,15032,+966148195522,a.almurashi@almokhtaragroup.com
شركة الواحة الخضراء الفندقية شركة شخص واحد,المدينة المنورة,المدينة المنورة,حي العريض,الامير محمد بن عبدالعزيز,7254,12749,+966556606556,n.alsaeed@delightsinn.com
لؤلؤة الشهد,العاصمة المقدسة,مكة المكرمة,اجياد السد,اجياد السد,0,,014-5700222,naif5052007@hotmail.com
